SOURCE,TARGET,SENTIMENT_SCORE,SENTIMENT
1,5,0.4317160844802856,positivo
1,12,0.4317160844802856,positivo
1,7,0.4317160844802856,positivo
1,2,0.4317160844802856,positivo
1,3,0.4317160844802856,positivo
1,4,0.4317160844802856,positivo
1,10,0.4317160844802856,positivo
1,8,0.4317160844802856,positivo
1,11,0.4317160844802856,positivo
3,5,0.7084581851959229,positivo
3,12,0.7084581851959229,positivo
3,7,0.7084581851959229,positivo
3,2,0.7084581851959229,positivo
3,4,0.7084581851959229,positivo
3,10,0.7084581851959229,positivo
3,8,0.7084581851959229,positivo
3,11,0.7084581851959229,positivo
3,1,0.7084581851959229,positivo
1,5,0.3333072364330292,positivo
1,12,0.3333072364330292,positivo
1,7,0.3333072364330292,positivo
1,2,0.3333072364330292,positivo
1,3,0.3333072364330292,positivo
1,4,0.3333072364330292,positivo
1,10,0.3333072364330292,positivo
1,8,0.3333072364330292,positivo
1,11,0.3333072364330292,positivo
11,5,0.4340461790561676,positivo
11,12,0.4340461790561676,positivo
11,7,0.4340461790561676,positivo
11,2,0.4340461790561676,positivo
11,3,0.4340461790561676,positivo
11,4,0.4340461790561676,positivo
11,10,0.4340461790561676,positivo
11,8,0.4340461790561676,positivo
11,1,0.4340461790561676,positivo
11,5,0.4052104353904724,positivo
11,12,0.4052104353904724,positivo
11,7,0.4052104353904724,positivo
11,2,0.4052104353904724,positivo
11,3,0.4052104353904724,positivo
11,4,0.4052104353904724,positivo
11,10,0.4052104353904724,positivo
11,8,0.4052104353904724,positivo
11,1,0.4052104353904724,positivo
11,5,0.3629124462604523,positivo
11,12,0.3629124462604523,positivo
11,7,0.3629124462604523,positivo
11,2,0.3629124462604523,positivo
11,3,0.3629124462604523,positivo
11,4,0.3629124462604523,positivo
11,10,0.3629124462604523,positivo
11,8,0.3629124462604523,positivo
11,1,0.3629124462604523,positivo
12,5,0.4317141473293304,positivo
12,7,0.4317141473293304,positivo
12,2,0.4317141473293304,positivo
12,3,0.4317141473293304,positivo
12,4,0.4317141473293304,positivo
12,10,0.4317141473293304,positivo
12,8,0.4317141473293304,positivo
12,11,0.4317141473293304,positivo
12,1,0.4317141473293304,positivo
7,5,0.4105808734893799,positivo
7,12,0.4105808734893799,positivo
7,2,0.4105808734893799,positivo
7,3,0.4105808734893799,positivo
7,4,0.4105808734893799,positivo
7,10,0.4105808734893799,positivo
7,8,0.4105808734893799,positivo
7,11,0.4105808734893799,positivo
7,1,0.4105808734893799,positivo
1,5,0.3164653182029724,negativo
1,12,0.3164653182029724,negativo
1,7,0.3164653182029724,negativo
1,2,0.3164653182029724,negativo
1,3,0.3164653182029724,negativo
1,4,0.3164653182029724,negativo
1,10,0.3164653182029724,negativo
1,8,0.3164653182029724,negativo
1,11,0.3164653182029724,negativo
2,5,0.3164832592010498,positivo
2,12,0.3164832592010498,positivo
2,7,0.3164832592010498,positivo
2,3,0.3164832592010498,positivo
2,4,0.3164832592010498,positivo
2,10,0.3164832592010498,positivo
2,8,0.3164832592010498,positivo
2,11,0.3164832592010498,positivo
2,1,0.3164832592010498,positivo
1,5,0.257006973028183,neutro
1,12,0.257006973028183,neutro
1,7,0.257006973028183,neutro
1,2,0.257006973028183,neutro
1,3,0.257006973028183,neutro
1,4,0.257006973028183,neutro
1,10,0.257006973028183,neutro
1,8,0.257006973028183,neutro
1,11,0.257006973028183,neutro
10,5,0.3511018455028534,positivo
10,12,0.3511018455028534,positivo
10,7,0.3511018455028534,positivo
10,2,0.3511018455028534,positivo
10,3,0.3511018455028534,positivo
10,4,0.3511018455028534,positivo
10,8,0.3511018455028534,positivo
10,11,0.3511018455028534,positivo
10,1,0.3511018455028534,positivo
8,5,0.3794281184673309,positivo
8,12,0.3794281184673309,positivo
8,7,0.3794281184673309,positivo
8,2,0.3794281184673309,positivo
8,3,0.3794281184673309,positivo
8,4,0.3794281184673309,positivo
8,10,0.3794281184673309,positivo
8,11,0.3794281184673309,positivo
8,1,0.3794281184673309,positivo
8,5,0.4616357088088989,positivo
8,12,0.4616357088088989,positivo
8,7,0.4616357088088989,positivo
8,2,0.4616357088088989,positivo
8,3,0.4616357088088989,positivo
8,4,0.4616357088088989,positivo
8,10,0.4616357088088989,positivo
8,11,0.4616357088088989,positivo
8,1,0.4616357088088989,positivo
11,5,0.3458982408046722,positivo
11,12,0.3458982408046722,positivo
11,7,0.3458982408046722,positivo
11,2,0.3458982408046722,positivo
11,3,0.3458982408046722,positivo
11,4,0.3458982408046722,positivo
11,10,0.3458982408046722,positivo
11,8,0.3458982408046722,positivo
11,1,0.3458982408046722,positivo
4,5,0.7456203103065491,positivo
4,12,0.7456203103065491,positivo
4,7,0.7456203103065491,positivo
4,2,0.7456203103065491,positivo
4,3,0.7456203103065491,positivo
4,10,0.7456203103065491,positivo
4,8,0.7456203103065491,positivo
4,11,0.7456203103065491,positivo
4,1,0.7456203103065491,positivo
4,5,0.4151155948638916,positivo
4,12,0.4151155948638916,positivo
4,7,0.4151155948638916,positivo
4,2,0.4151155948638916,positivo
4,3,0.4151155948638916,positivo
4,10,0.4151155948638916,positivo
4,8,0.4151155948638916,positivo
4,11,0.4151155948638916,positivo
4,1,0.4151155948638916,positivo
1,5,0.5770256519317627,positivo
1,12,0.5770256519317627,positivo
1,7,0.5770256519317627,positivo
1,2,0.5770256519317627,positivo
1,3,0.5770256519317627,positivo
1,4,0.5770256519317627,positivo
1,10,0.5770256519317627,positivo
1,8,0.5770256519317627,positivo
1,11,0.5770256519317627,positivo
1,5,0.548867404460907,positivo
